free_text,label_id
Chỉ 3 và người ngọ c như con heo nọc nhà_e,2
phải thầy không tao_NEG,0
Cảnh_sát chính_tả comingg nè : pacman : ery_happy :,0
Xuân_đương tới nghĩa_là xuân đương qua,0
Nhìn chúng_nó bình_luận mà đắng bạn à : rolling_on_the_floor_laughing : ) ) ) ),0
Ý_thức còn ít hơn cả số tiền trong túi tao,1
Em yêu anh từ thuở tóc dài,0
theo chân mấy anh hàn quốc rồi :,0
"Lương tháng 78 củ thui ak con_trai , nhưng bố vẫn ăn tạm cua hoàng đế để sống quá ngày thôi con_trai ak",0
Mệt quá thầy ạ : disappointed_face :,0
Gia_Lộc Tran_Quang còn gì vui hơn cà_khịa : pacman : ery_happy : ) ) ),0
chị Hôm_nay đẹp quá,0
Xem rồi nè,0
Việt_Tiến nghèo là rõ : stuck_out_tongue : erson_facepalming :,0
xx video : no_one_under_eighteen :,1
thầy đéo xoá_NEG kênh_NEG kêu_NEG gọi_NEG học_trò report chó bay kênh thiệt luôn : pacman : ery_happy :,2
Anh ba láo_nháo là Tú xiên giờ,2
Người tao bị lường gạt 1tỷ mấy còn êm_ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,0
Tú thích hoa_hồng và mùa đông được Quang đâm phía sau mông,0
"mẹ , sao bộ không mở_NEG cửa_NEG hàng_NEG kinh_NEG doanh bán bình luôn chó dân , không lại_NEG phạt_NEG vì_NEG mua_NEG phải bình đểu : pacman : ery_happy :",2
Cuối_cùng anh đã trở_lại . Em tưởng anh biến mất luôn chó em mừng : slightly_smiling_face : thiệt là tình ( nội_dung mang tính giải_trí . không có_NEG ý_NEG anti_NEG hay ghét ai ),0
Chi 3 cai gì cũng co nhung cai lờ la chi 3 hé tao kiế p nay cũng không bao_NEG giờ_NEG co . _NEG,2
Vừa tăng lương phát biết ngay,0
Ai là cảm_tình diên thích,0
Xin tộc_trưởng hãy chó Hiếu lợn thần ra trận ! Đảm_bảo sẽ có chiến_thắng,0
Đấu_khẩu - Chim_lợn : thumbs_up :,1
Cai miệng nói không sợ_NEG bị_NEG hậu_NEG quả_NEG,1
4 năm rồi à,0
Đầu 2 thứ tóc rồi mà còn bị trẻ trâu Levi lừa . : rolling_on_the_floor_laughing :,0
Nguoi mien trung nhu e chi ngoi xem cặc bac chui nhau thoi : pacman : ery_happy :,0
Khắc_Thành Nguyễn phục cái máu lồn,2
Quan_va . đần nhu nhau phai ton trong phap luat . không thuen_NEG vi_NEG mot_NEG ai ? _NEG,0
Chúc abe 2010 vui_vẻ,0
không vào_NEG thì_NEG lấy_NEG đâu_NEG ra vốn vay FDI chó các anh đút_túi ?,0
Việc nhẹ lương cao mình xin nhường chó những người thất_nghiệp : pacman : ery_happy :,0
B52 If_J97,0
Chào người anh_em,0
Diệp_Gia_Nghi_nghiệp nó quật mày chết bây_giờ,0
"Duy_Khương bên nó ai bị hoặc nghi bị thì tự cách_ly tự điểu trị nhé , nó còn không chó_NEG xét_NEG nghiệm_NEG cơ , _NEG chỉ khi nào bạn chết thì nó mới khám_nghiệm để kết_luận có do virus hay không , ở ngoài đường mà đeo khẩu_trang bọn Anh nó còn đấm vào mặt chó chứ ở đó mà điều_trị",0
9x555 chứ ôg a già : grinning_squinting_face :,0
Trương_Duy không mvp_NEG đội_NEG mình_NEG thì_NEG là mvp của đội bạn : pacman : ery_happy :,0
Xin video với bro : grinning_face_with_smiling_eyes :,0
Bị gì bị lắm thế,0
địt học_sinh Úc_cơ ấy : rolling_on_the_floor_laughing :,0
Ôi vã ia quang : pacman :,0
Chờ_đợi 17 nồi bánh_chưng mới được fan cứng nên bình_luận chó không mất_NEG chứ_NEG không_NEG biết_NEG chơi GA,0
Khá khó : slightly_smiling_face :,0
Giúp e làm_đẹp với . E không có_NEG điều_NEG kiện . _NEG không_NEG có khả_năg nhưg thấy có người đẹp e rất thích,0
Thu_Boo xuất sắcnhưng em lại làm mấy bạn kia buồn thêm : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing :,0
"Hoan_nghênh ông Trần_Dần có tư_tưởng tiến_bộ , không chống_NEG cộng_NEG sản_NEG Việt_NEG Nam nữa . Chỉ có quên đi quá_khứ để yêu_thương . Ai cũng về già lo tu thân sám_hối là điều lựa_chọn tốt nhất . Chúc ông Trần Dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp_lão .",0
Mấy thằng già làm_bộ_trưởng này_nọ mà đầu_óc thua cả 1 bác nông_dân,2
Võ_Thành Nhân huyền_thoại : sad : (,0
Sương_mù là tại thiên_tai !,0
Mình không quan_NEG tâm_NEG cô_NEG đơn_NEG chó lắm,0
Thế_e thích làm phù_thuỷ rồi bạn nam phải làm s đây a nhỉ : grinning_squinting_face :,0
Uầy tôi là cưng phán các ông ạ được vậy_luôn a ưi : rolling_on_the_floor_laughing :,0
Maruko_Linh,0
ảnh này ở video Superheroo nghe buồn não ruột__ -,0
anh tik nói quá đúng luôn,0
BaVi : pacman : ery_happy :,0
Ở đây ai là chủ ? ?,0
Minh_mẫn vãi_cả_lồn,1
Chú Bòn em chặt chứ không ăn_NEG nha : _NEG rolling_on_the_floor_laughing : ) ) ) ) _NEG,0
Cực_kì thuyếhác xìá chết mẹ . .,0
Lee_Quang tôi toàn nghe nhạc của bùi anh tuấn ! Hà_anh tuấn ! Nghe mấy bài này không thấm_NEG nổi_NEG,0
Nguyễn_Trọng Thái người tao nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không . Hay_là đợi thiệp hồng,0
"Có anh Độ , Tết lúc_nào chả vui_NEG",0
Nghe nói trước đây 1 số_thành_phần người hà_nội kì_thị dân vĩnh phúc đúng không nhỉ . _NEG bây_giờ_NEG sao_NEG thì_NEG mấy ngừoi đó bị lây hết chưa ấy_NEG nhể_NEG,0
Huy_Hoàng : rolling_on_the_floor_laughing :,0
Thảo người thua tại dốt av quá : pacman :,0
: disappointed_face :,0
Dần_dần thấy jack mất hay,0
Dì 3ê dì 3_là trai hay gái ạ,0
Vợ Cuốc sư là Bùi_Kim_Thành còn vợ_nhỏ là lisa phạm,0
Trước khi cắm lên đầu em 4 cái sừng nó cũng bảo y_như thế : pacman : ery_sad : (,0
éo nha_NEG liu_NEG liu_NEG,1
# NAME ?,0
Cận thận nhà anh_em,0
Idol,0
Duyên Phạm_ghê tr nay văn_chương dữ hén,0
xin ạ,0
Hoàng_Minh,0
Anh Trung_Magic,0
"có một sự tồn_tại của đàn bò mang tên "" cực_kỳ thuyết_phục "" , có sở_thích là nhai đi nhai_lại , mục_đích của chúng trên hành_tinh này vẫn chưa có_NEG lời_NEG giải_NEG đáp , _NEG theo như các nhà động_vật_học chó biết loài bò này có lối sống hoang_dâm trụy lạc , có_thể động_dục bất_cứ lúc_nào , con_số của loài này đang được gia_tăng đáng_kể .",2
Ck4mk4m là gì á mn,0
chó toyy xin in4 facebook hoặc sđt zalo hay instagram được không : cute : 3,0
Chị chữi là chị cứu nhân độ thế : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing :,0
Nghi_vấn thầy chà_trộn : crying : BL tu,0
Lại Hợp Sâm cái_lồn_mẹ đến vậy thì / ff,1
Dao chặt không đứt : _NEG laughing : : _NEG rolling_on_the_floor_laughing : : _NEG rolling_on_the_floor_laughing : : _NEG rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing :,0
Hồng_Thy cái giọng_điệu nói cảm_thấy hao_hao giống . . !,0
Nhanh thực_sự,0
Đồng Nhung máy_bay phalcon 10 tỷ belike :,0
So Pre Tài_Trợ Độ Tây Ngày Hôm Ngày : rolling_on_the_floor_laughing :,0
Nghe kể chuyện tí rồi làm tiếp a Thanh_Le : pacman : ery_happy :,0
Hoàng_Anh từ tư : beaming_face_with_smiling_eyes :,0
Dep trai mới co nhieu dua yeu,0
bình_thường các bạn phan cuồng chửi vậy mình đã không nêu_NEG ra_NEG ý_NEG kiến_NEG cá_nhân,0
thêm một người bị cộng_sản nhồi_sọ không biết_NEG sao_NEG có_NEG thể_NEG nạo ra được hết chất bã trong đầu,2
Nghe giọng nứkg quá Abe : pacman : ery_happy :,1
ông làm bố tôi hơi lâu rồi đấy ' Tùng sói said,0
Vì refund top 1 nên tối nay mình xin phép eablabla,0
Anh Trung_Giả_Kim : face_with_tears_of_joy :,0
Có khả_năng tối nay anh bị ngủ ngoài đường : pacman : ery_happy : tu bi con tờ niu,0
buồn nhở,0
Pháo_thủ toang cmnl @ @,0
Bóng khùng bóng điên,1
Làm thêm chục củ mở hòm csgo anh êi : pacman :,0
Lê_Huyền người ư ? sinh_vật hạ_đẳng chứ ngươi ai làm thế .,2
Cao_Lãnh với chúng_tôi làyy,0
Làm nhẹ 30 chó nó được,0
: woman_gesturing_OK_light_skin_tone :,0
ặc : smile :,0
Ai xin inb tôi đi,0
"Goodnow Tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ , tôi cam_đoan là như dị",0
"Nhìn chị Minh Hiếu có duyên hết_sức , nói_chuyện rất chân_thật , mặc_dù mỗi lần live chửi rất táo_tợn nhưng nghe và nhìn chị ấy rất thánh_thiện và chất . Chúc chị luôn vui khoẻ và hải_phòng . Mong có dịp sẽ được gặp chị",0
dễ_thương và duyên quá Cô ơi . Love_Cô .,0
Lê_Thị_Bích_Hồng cảm_ơn trẩu,2
nhớ nuôi kiểu tóc này mới đủ combo nhé anh_em,0
Chang_Chang : coconut : : coconut : : coconut : : coconut :,0
Nguyễn_Trang nói thật mị : rolling_on_the_floor_laughing :,0
1 ng thì giết 1 mạng1 người thì feed tụt : laughing :,0
Có pải nổ lực là có được đâupải có 1 chút gọi là mày mắn nữa,0
Panda_Thái đã xem : rolling_on_the_floor_laughing :,0
Luôn ủng_hộ KATM,0
Còn bạn này nữa thầy ơi,0
giợ ̀ người cuố n vc,0
Nguyễn Đào_Nguyên,0
thế thua gì báck công_khai mà cả VN điều biết tên e nó bác nghĩ người_ta đón được sao ? ?,0
Ai ki nghe nói cũng đi ý về,0
"không có_NEG thì "" _NEG sản_NEG xuất "" _NEG ra_ -",0
Hợp_lí anh ơi,0
được anh ui,0
con_người sao lại như_vậy ?,0
Bảo đần tri thap thì tự_ái : smile :,1
Tại_sao phải trả_lời thầy,0
Cá i trend Nghe có vẻ mà ̃ i chú người nó vẫ n chưa chá_NEG n_NEG nhỉ_NEG,0
Đang lúc dầu sôi_lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây chó nhà_nước nuôi tốn cơm tốn gạo,1
con nhớ nay hom trước chui Ong ba Cha me ca nguoi Vn la minh biết no bi mà nhap no trước khi bi chet ... . gao thet kinh hon de trước khi xuong dia nguc ... : folded_hands : : folded_hands : : folded_hands :,0
Anh_Minh chậm cái con_cặc,2
reaction thầy ơi,0
Đoạn đánh răng chiếm quá nhiều thgian : pacman : ery_happy :,0
"địt dại ghê , bọn đấy ngày nào nó cũng lên Phường xiên chó nó 1 cái , đuợc tiếng luôn , vào khám mấy anh_chị cũng thương , xiên hết mọi thằng trên Phường luôn chó nó Sum",1
Chị 3 chó e 200 triệu đi làm chymm đi : crying : giờ,0
Tóm lại là chửi nhau phải có văn_hoá : face_with_tears_of_joy : : face_with_tears_of_joy : : face_with_tears_of_joy : : clapping_hands_light_skin_tone : : clapping_hands_light_skin_tone : e thích page rồi đấy : face_with_tears_of_joy : : face_with_tears_of_joy :,0
A tiệp :,0
Khi đi nhớ đem theo Susan nha thầy : pacman : ery_happy :,0
cái tay cái tay,0
Vẫn có 1 người tặng quà va len thai chó mình mn ạ .,0
Giật chó mất mẹ cả cái mụn ruồi : smile :,0
Tóm lại là con_gái hay trai ... : face_without_mouth : : face_without_mouth : : face_without_mouth : ... bực_mình vậy_luôn nhìn hoài không ra : _NEG expressionless_face : : _NEG expressionless_face : _NEG,1
Đào Hà_Văn Rinaky Cn anh_chị ơi cẩn_thận nhé ạ,0
Điều_kiện hạn_chế viruss phát_tán có_thể là phòng trên 26 độ là cơ_bản . Còn mọi thứ điều cis thể . Hãy đọc kĩ những bài nói về viruss corona the trang chính_thống nha,0
Bắt được đừng chữa_NEG nhốt_NEG vào_NEG chó_NEG chết luônloại này đừng để_NEG đẻ_NEG trứng ! ! _NEG,2
Optimusthree với 99 % sức_mạnh,0
: cute :,0
Ha : laughing : ha,0
"ô thế mọi người không biết_NEG ak , _NEG Trần_NEG Dần_NEG mắc bệnh từ khi chưa có_NEG dịch_NEG akông_NEG này_NEG mắc loại bệnh còn nguy_hiểm hơn Covid 19 ...",0
Đồng_bọn nhỏ đó khi vô tù : pacman : ery_happy :,0
Nguyễn_Thị_Luận Hà_Nam cũng vậy : smile :,0
gáy to thế mày anh,0
Bảo_Tín đi địt lịch gặp con gì ngứa ngứa ở biển e đã sợ lắm rồi sao xuất_hiện con này nữa,0
"Học cách kiểm_soát bộ_não của mình đi , thích thì tiến tới , ghét thì bỏ_qua",0
Phạm_Linh không co_NEG cái_lồn_NEG,1
Qtrong gì trước sau gì chẳng về_NEG 1_NEG nhà_NEG,0
Tức diêng là idol vẫn còn ngon cơm . Tức diêng là mắt thấy tai_nghe chứ không phải_NEG nằm_NEG chiêm_NEG bao_NEG,0
con Thương cô lắm,0
Cực_kỳ thu ... .,0
Thánh_chửi lãnh_án,0
xe chở súc_vật mong người dân hãy tránh xa ( đề_phòng súc_vật phóng_uế lung_tung làm mất vệ_sinh ) .,2
À thế bạn ý hát bài gì jui có ai giới_thiệu chó mình được không . Lâu jui mình chẳng nghe_NEG bài_NEG hát_NEG mới_NEG nào cả,0
"Chúc anh_em năm mới vui_vẻ , an_khang thịnh_vượng .",0
Có táo_quân thỳ mới là tết chứ,0
"Samsung vẫn đi làm bình_thường nhé , mỗi ngày đi làm là 1 ngày vui : winking_face_with_tongue : : winking_face_with_tongue : : winking_face_with_tongue : : winking_face_with_tongue :",0
Chú trung đầu lồn chứ chú tí đầu lân clg : rolling_on_the_floor_laughing :,2
Chi đep qua chie thích qua,0
Oh_shjt,1
khôn_lỏi từ,0
Nhật_Long toang . Kiểu ni còn lâu lắm : sad : (,0
Hiếu Bùi sủa dơ,2
được trung bảnh,0
: pacman : ery_happy :,0
ad nói_phét à bê_tông ăn thế_nào được,0
con thuong co ba,0
Á nhà tiên_tri ủng_hộ nghị_quyết 36 rồi nhé : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing :,0
Nguyễn_Thị_Phương bạn ơi chó mình xin ảnh để sống không_thật được kạ ?,0
Chào nhà_báo vũ hoàng LânChào danh_hài vũ_trụ trần tiger : smile :,0
được đẹp_trai : pacman :,0
Lan Hoa_Tùng có dùng acc clone đi bình_luận đâudạo ? ?,0
ăn_bận như cặc họ,1
Cực_kì thuyết p ... . .,0
Nhảy_thế kia nhỡ mày tiếp đất không chuẩn_NEG lại_NEG ngã_NEG thì_NEG saothôi tôi tớ nhiều cứ bảo 1 thằng ra cõng chó chắc . : pacman : ery_happy :,0
reaction thầy ơi,0
Chửi hay lắm ad,0
Chào_nhéee,0
Thu_Trang,0
Đau_đầu vậy_luôn : pacman : ery_happy :,0
Mày nói như lồn . Bọn đa_cấp nó đóng thuế còn gấp chục lần doanh_nghiệp . Tao chó thằng thớt ăn lồn không oan_NEG chứ_NEG thằng_NEG bên_NEG dưới ?,2
Thế_cơ_á,0
"Day không phai_NEG la_NEG con_NEG nguoi_NEG nua , , , tinh_tinh_tinh , ,",1
cảm_ơn thầy nha : heart_suit :,0
Quá ngu lồn đi : rolling_on_the_floor_laughing :,1
Fan cô Minh hiếu đâu taa : red_heart :,0
Nguyen_Ngoc Tam_gia phú phải không : face_with_tears_of_joy :,0
Tình đồng_chí thật kiên trungSách lịch_sử dạy giặc tra_tấn dã_man thế_nào cũng không mở_NEG mồm_NEG có [ SPECIAL_0 ],2
bác dần chớm có tình_yêu nước rồi đấy,0
Toang quá thầy ơii : pacman : ery_happy :,0
"Làm cái đéo gì_NEG thì_NEG làm_NEG đừng_NEG để người tao nhắc đến VN là gắn với từ "" ăn_cắp "" : pacman : ery_happy :",1
chị ba nói_chuyện dễ_thương quá,0
.,0
Cả nước đồng_lòng riêng em thi không,0
Còn ngưỡng_mộ có ba nhé : laughing : hi,0
Báo_công_an đi rồi quản_lý thị_trường hốt em luôn_thể .,0
Im_mẹ đi thằng mặt lồn,2
thằng ad này não bị delay 3 năm à : pacman : ery_happy :,2
: rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing :,0
How to nói đểu vợ : pacman : ery_happy :,0
Mới hả mn : grinning_face_with_sweat :,0
"Ad hãy tìm số báo nào của báo quân_đội khi viết "" barách ôbama "" và "" đôna trăm "" . Vãi báo",1
Bọn chó sủa bậy,1
Thì_ra thầy đã có tính tấu hài từ lúc làm tuyển_thủ chuyên_nghiệp,0
Sếp nhà mình cũng thế : star - struck :,0
bon comcom đơn_vị tác_chiến điện_tử với nhật_ký yêu nước địt_mẹ chúng_mày vào mà đọctưởng ai cũng như chúng_mày hết đấy,2
Các em nầy khi vào báo “ công ngủ ” với ác hồ thì phải chỉa vào mặt ác hồ như thế nầy nè :,2
Giận méo_mặt : _NEG rolling_on_the_floor_laughing : _NEG,0
MV khá chất_lượng,0
đi làm cũng khổ : sad : (,0
Thầy duo với levi để Tú bơ_vơ,0
Lại 1 người nữa ra đi,0
Bá c ơi chó ́ i quá,0
Tự_hào quá VN ơi : face_with_tears_of_joy :,0
Khổ_thân anh độ giải này mà nát mấy ông anti lại um lên chó mà xem ... rồi team lại đủ thứ buồn . Còn ngày ngày_mai nữa mong các anh cố_gắng,0
Ai yêu ib nhé,0
Chu_Hoài tạo_hình suốt mà giờ mới trend,0
em mê con nhỏ ngoài Trần_Duy_Hưng nhưng phải cố_gắng nhiều hơn ! !,0
Tại mấy a tàu mà ra,0
Sợ thật ấy : pacman : ery_happy :,0
Xin_phép cả nhà nhaa ! !,0
"so với "" nghệ_thuật sắp_đặt "" trị_giá 8100 tỷ vnd của ông Hoàng_Trung_Hải thì tác_phẩm "" trái chuối "" ... . rất là chuối !",0
Nước_hoa đểu lấy đâu ra tốt : pacman : ery_happy : Hot_girl méo gì_NEG nhìn_NEG xấu_NEG vãi_cả_lồn_NEG thề : pacman : ery_happy :,2
"Sam luôn_luôn đi theo cặp nhé , 2 con chồng lên nhau ý",0
Trường_Giang no no . Đg chỉ_trích vì tính ích_kỷ . không nghĩ_NEG chó_NEG ngkhac . _NEG Chứ_NEG bả sống thì tốt th chứ có gì đâu,0
", . .",0
Chúc_mừng năm mới,0
Quân tâm anh_em có link xem chưa bao_NEG phê_NEG luôn_NEG anh_em_NEG ơi,0
Thầy làm gì cũng được đừng ra_NEG MV_NEG hát_NEG là_NEG được nha thầy . Nói chứ địt_mẹ mãi yêu thầy,0
cứ như là 1 kịch_bản hay chó việc hợp_lý_hóa xây sân_bay long thành !,0
Cổ_động_viên quảng_ninh nhưng rất thích chất cổ_động_viên hải phòng : bouquet :,0
Đưa ô già đi trốn hợp_lý hơn : rolling_on_the_floor_laughing :,0
Suni_Hạ_Linh sau khi thấy vid này : frowning_face :,0
Bóng_dơ,2
ngày_mai Ánh_Thi có nha em ơi ibx nha,0
Có tiền đi đường quyền : rolling_on_the_floor_laughing :,0
Trần Bình_Trọng Vừa xog1k thích : smile : các bác sống nhanh vậy_luôn : smile :,1
Tôi nghĩ tiền không làm_NEG gì_NEG được_NEG các_NEG ông ạ : rolling_on_the_floor_laughing :,0
Nhớ đến đấng nha 3 gà : smiling_face_with_sunglasses : : smiling_face_with_sunglasses :,0
Mê cô quá,0
"Vô_tình thấy , giống anh quá : face_with_raised_eyebrow :",0
Đặng_Thái Hoàng_Châu dư_âm từ năm này sang năm khác,0
Tú không chó_NEG anh_NEG 3_NEG blue_NEG và cái kết : pacman : ery_happy :,0
Fan cứng nè,0
"em đây anh ơi , bây_giờ em mới nhận ra bên em còn có 1 người anh tuyệt_vời như anh anh Độ ạ : stuck_out_tongue : leading_face :",0
I love you to ca mo,0
Đumoe nói_leo,1
"Pha đánh răng ám_ảnh nhất lịch_sử điện_ảnh , có_thể lưu_truyền mọi thời_đại , là biểu_tượng để các diễn_viên học_tập theo : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing :",0
Đumá tubiên tudiēn luôn ...,1
: upside - down_face :,0
"hoc con_cặc gì ` nua ~ , ve_san với mà ` kiem an = ] ] vậy",1
Thanh_Phương c làm 1 bài review đi c,0
Đình_Quang thô nhưnh thật quá bác ạ : rolling_on_the_floor_laughing :,0
Abe có_thể chiếm_đoạt được trái_tim của Tiểu_Tiểu nhưng riêng blue của Tiểu_Tiểu thì Abe tuổi : laughing : chiếm_đoạt được : pacman : vậy,0
Đúng là chó làm người phải chịuhaizz,1
Bùi_Minh Huệ người_thích ưii . Anh thích em đó : face_without_mouth :,0
Cô Minh hiếu nói_chuyện thật_thà dễ_thương quá : pacman : ictory_hand : : pacman : ictory_hand : : pacman : ictory_hand : : pacman : ictory_hand : : pacman : ictory_hand :,0
Ai biết tên kiểu này là gì không ạ_NEG,0
Uống nước là đi tù,1
đéo hiểu_NEG kiểu_NEG gì_NEG,1
e chúc panda của abe yêu_dấu 20 / 10 vui_vẻ nhé và đừng quên_NEG xoá_NEG kênh_NEG,0
Đờ mờ cuộc_sống,1
Phải xử_lý hình_sự mới sáng_mắt ra được !,0
Dạo này nước mỹ không được_NEG an_NEG toàn . _NEG sao_NEG không thấy_NEG cây_NEG súng : _NEG water_pistol : : _NEG water_pistol : : water_pistol : của nhà tien tri_vậy,0
em về tộc anh rồi nhưng chưa có_NEG fc : _NEG rolling_on_the_floor_laughing : _NEG,0
khó chị u vã i : face_with_tears_of_joy :,0
Ri thì như thor luôn,0
Góp vui một_tí : cute :,0
Mọi người xin dành 1 chút thời_gian nguyên góp mỗi người 1 thích vào ảnh đại_diện của tôi được không : pacman : ery_happy :,0
triệu_hồi phúc nghẹotrọng lú,2
"nói vậy thôi chó dân_chúng bớt xoắn lên nhưng thực chắc cũng đâu vào đấynó chơi ngầm thì đố ai biếtcái nhà_nước này nó nát bét hết rồicác bác đừng có_NEG mơ_NEG làm_NEG nhà_NEG nước nữa , từ cấp 3 đã xác_định là làm nghề gì mà không liên_NEG qua_NEG nhà_NEG nước_NEG rồi , vì tao biết g",2
Thời_gian ủ_bệnh lên tới 14 ngày khả_năng cao vẫn phải cách_li theo_dõi thêm,0
Mặt độ trông buồn_cười vậy_luôn kiểu con ơi chó bố cầm mới : laughing :,0
Pha xử_lí hay nhất từng xem,0
Thêm quả carô ở trong nữa nhìn chán : expressionless_face : : downcast_face_with_sweat :,0
Bà này đỉnh thật . Nữ_tướng đáng khâm_phục . Giá_như mà Việt_Nam ! Có sự lãnh_đạo của bà thay chó NTKN thì hay chó đất_nước .,0
dư_luận viên vào ẳng nào : pacman :,2
from,0
Nghe kì kì sao á . con_trai với mẹ mà liệu mấy cái lời nghe : face_savoring_food : : face_savoring_food : : enraged_face :,0
Lisa_cai lậy : smiling_face_with_heart - eyes :,0
Tq hắc xì cả thế_giới phải rung_chuyển,0
NGHIỆP BÊ ĐÊ NẶNG LẮM rồi MÁ ƠI,2
Duy Trần xin video với,0
yêu thầy dấu bé 3,0
nó giống vãi : laughing : a ưi !,0
Cũng đã đến lúc những người làm công_tác bảo_vệ an ninhcác khu_phố cần vào_cuộc . Vì hình_ảnh của đất_nước không để_NEG mấy_NEG thằng_NEG lưu_NEG manh làm mất_mặt được,2
add e muốn mua cái này mua ở đâu ạ .,0
Lại lên_cơn hoang_tưởng bậc cao hơn ! : beaming_face_with_smiling_eyes : : face_with_tears_of_joy : : rolling_on_the_floor_laughing :,0
Nguyễn_Minh bộ ba siêu phẩm rồi sao đọ,0
Phương_Minn ngộ_nghĩnh nhỉ lạ lone nhỉ ? Rõ_ràng cố_tình tạo phốt để bán hàng online : pacman : ery_happy : mà làm như hay lắm . Sống dơ vậy ai mua đồ_chó trời .,2
< USER > trần chuẩn : surprised : K_hand :,0
< USER > Min : pacman : ery_happy : ),0
HÌNH_NHƯ THIẾU 4X : cute :,0
Chỉ chịch xã_giao thôi : rolling_on_the_floor_laughing : ),1
Trúc Ngân ơs lại đi so_sánh dink kout của cây a tê em với đỉnh_cao của Jack vại bạn ? ? : upside - down_face : : upside - down_face : Thiệt là khập_khiễng với cả thiệt_thòi chó bạn nện đàn dzợ : slightly_smiling_face : : slightly_smiling_face : : slightly_smiling_face :,0
Hoàng_Kiên nói đúng lại còn chuẩn : rolling_on_the_floor_laughing : : rolling_on_the_floor_laughing :,0
Có con_cặc nè em : smile :,2
Page lâu_lâu nói_chuyện chuẩn dễ sợ > . <,0
Kinhh,0
Quảng_khôn_lỏi lộ_liễu quá : beaming_face_with_smiling_eyes : : beaming_face_with_smiling_eyes :,0
Nghĩ ló chán : smile :,0
Nghe thế thôii làm theo mấtt hếtt : rolling_on_the_floor_laughing :,0
Loại này phải,0
